"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"Alerts","Succeeded","","WebActivity","1/21/2026, 11:36:00 AM","14s","AutoResolveIntegrationRuntime (East US)","{}","b53f9b0d-d7ac-477c-bfad-2f760ab7825b",""
"DeleteFileWith0Rec","Succeeded","","Delete","1/21/2026, 11:35:51 AM","4s","AutoResolveIntegrationRuntime (East US)","{}","3a802865-a439-4127-900b-d07b6f8db1a2",""
"If_incremental","Succeeded","","IfCondition","1/21/2026, 11:35:49 AM","6s","","{}","ffaa4d09-b315-49a9-809f-8bfb474e9ef5",""
"SQL_db_to_bronze","Succeeded","","Copy","1/21/2026, 11:35:33 AM","16s","AutoResolveIntegrationRuntime (East US)","{}","e3098ced-ef05-486a-8c49-b5944ef837e2",""
"Lookupcdc","Succeeded","","Lookup","1/21/2026, 11:35:00 AM","30s","AutoResolveIntegrationRuntime (East US)","{}","38da26d8-9c3a-4b8e-8c66-da67e4fa2b92",""
"current_time","Succeeded","","SetVariable","1/21/2026, 11:35:00 AM","Less than 1s","","{}","e4677bb4-e001-4c25-b02d-dd017fa96286",""
"DeleteFileWith0Rec","Succeeded","","Delete","1/21/2026, 11:34:41 AM","17s","AutoResolveIntegrationRuntime (East US)","{}","85574011-f8f7-450c-8001-aef27c2baed1",""
"If_incremental","Succeeded","","IfCondition","1/21/2026, 11:34:40 AM","20s","","{}","56208dd2-e387-4f42-a7e5-f238bab7488d",""
"SQL_db_to_bronze","Succeeded","","Copy","1/21/2026, 11:34:17 AM","23s","AutoResolveIntegrationRuntime (East US)","{}","73230ec0-729b-4f49-9a8f-c1e8604c5cd4",""
"Lookupcdc","Succeeded","","Lookup","1/21/2026, 11:33:53 AM","22s","AutoResolveIntegrationRuntime (East US)","{}","9e337533-71fe-45a2-9d2c-dd19b6fdfba7",""
"current_time","Succeeded","","SetVariable","1/21/2026, 11:33:53 AM","Less than 1s","","{}","438480d4-e583-44f9-b648-8569663ef56e",""
"DeleteFileWith0Rec","Succeeded","","Delete","1/21/2026, 11:33:35 AM","16s","AutoResolveIntegrationRuntime (East US)","{}","1ab4bedb-7e62-4c66-b4f1-ff9da19235ed",""
"If_incremental","Succeeded","","IfCondition","1/21/2026, 11:33:34 AM","19s","","{}","cff3b281-13bf-42f3-9a52-91420dd0c266",""
"SQL_db_to_bronze","Succeeded","","Copy","1/21/2026, 11:33:07 AM","26s","AutoResolveIntegrationRuntime (East US)","{}","22bea6ab-4cb3-4395-87fc-98862bba1572",""
"Lookupcdc","Succeeded","","Lookup","1/21/2026, 11:33:00 AM","7s","AutoResolveIntegrationRuntime (East US)","{}","ed6922d4-f656-4af1-b918-f0de2a47a950",""
"current_time","Succeeded","","SetVariable","1/21/2026, 11:32:59 AM","Less than 1s","","{}","65e7d11a-da92-4f73-9220-a9f74ab74e4d",""
"DeleteFileWith0Rec","Succeeded","","Delete","1/21/2026, 11:32:52 AM","5s","AutoResolveIntegrationRuntime (East US)","{}","bc2b64d6-c8bc-4da2-8ccf-5d6296d5b495",""
"If_incremental","Succeeded","","IfCondition","1/21/2026, 11:32:51 AM","8s","","{}","149c541b-d8e3-4da3-afcf-44d7a35cd26b",""
"SQL_db_to_bronze","Succeeded","","Copy","1/21/2026, 11:32:28 AM","22s","AutoResolveIntegrationRuntime (East US)","{}","f60d3c5e-12c1-4f61-8865-32d7c16c317f",""
"Lookupcdc","Succeeded","","Lookup","1/21/2026, 11:32:07 AM","19s","AutoResolveIntegrationRuntime (East US)","{}","6f50f29e-c043-4265-b00b-2a63656e0757",""
"current_time","Succeeded","","SetVariable","1/21/2026, 11:32:07 AM","Less than 1s","","{}","185c086b-2568-43de-a88a-70d04a1db176",""
"DeleteFileWith0Rec","Succeeded","","Delete","1/21/2026, 11:31:55 AM","10s","AutoResolveIntegrationRuntime (East US)","{}","dca55a76-2692-4a75-9865-91e042f8a8fc",""
"If_incremental","Succeeded","","IfCondition","1/21/2026, 11:31:53 AM","14s","","{}","329aca67-11e5-4334-913a-501dbadb78a0",""
"SQL_db_to_bronze","Succeeded","","Copy","1/21/2026, 11:31:34 AM","19s","AutoResolveIntegrationRuntime (East US)","{}","5e54e941-6f2a-4f3c-a6c1-388e33f8ab7e",""
"current_time","Succeeded","","SetVariable","1/21/2026, 11:31:19 AM","Less than 1s","","{}","9fc1c5d6-0287-4b51-8da5-0f4ec0465b31",""
"Lookupcdc","Succeeded","","Lookup","1/21/2026, 11:31:19 AM","14s","AutoResolveIntegrationRuntime (East US)","{}","e8feae19-12e0-4a91-ad0e-befcefae6cb1",""
"AllTableBronzeIngestion","Succeeded","","ForEach","1/21/2026, 11:31:18 AM","4m 42s","","{}","a0453a6c-f928-497b-90f9-68671c1f1881",""
"Table_list","Succeeded","","Lookup","1/21/2026, 11:31:09 AM","7s","AutoResolveIntegrationRuntime (East US)","{}","d5caeddb-198b-47e0-8e4f-2cb424c99a6f",""
